709.4,83.3,80.6,12.0,70.7,16.4,2.53,3.1,3.4,0.14,0.0,0.0,0.0,0.0,0.6,0.3,0.0
710.4,83.0,80.3,11.6,70.7,17.1,2.4,3.2,3.5,0.1,0.0,0.0,0.0,0.0,0.6,0.0,0.0
711.5,80.2,79.1,10.3,70.0,18.5,1.76,3.3,3.7,0.19,0.0,0.0,0.0,0.8,0.4,0.0,0.0
711.5,80.2,79.1,10.3,70.0,18.5,1.76,3.3,3.7,0.19,0.0,0.0,0.0,8.0,0.4,0.0,0.0
714.7,85.1,79.5,8.7,70.3,19.0,2.42,4.4,5.2,0.34,0.0,0.0,1.1,0.5,0.4,0.0,0.0
714.7,85.1,79.5,8.7,70.3,19.0,2.42,4.4,5.2,0.34,0.0,0.0,1.1,0.5,0.4,0.0,0.0
706.9,84.2,79.2,9.1,73.0,16.3,2.33,3.8,4.2,0.26,0.0,0.0,0.3,0.9,0.4,0.0,0.0
706.9,84.2,79.2,9.1,73.0,16.3,2.33,3.8,4.2,0.26,0.0,0.0,0.3,0.9,0.4,0.0,0.0
713.9,88.2,80.6,9.4,64.1,23.4,2.56,5.5,6.4,0.55,0.0,0.0,2.2,0.4,0.5,0.0,0.0
711.7,84.8,79.8,9.6,71.0,17.9,2.56,3.9,4.7,0.24,0.0,0.0,0.8,0.3,0.3,0.0,0.0
713.7,85.1,80.1,9.5,70.6,18.7,2.71,4.1,5.0,0.2,0.0,0.0,0.4,0.5,0.3,0.0,0.0
715.5,83.0,78.3,8.5,72.4,17.9,2.6,4.0,48.0,0.2,0.0,0.0,0.2,0.7,0.3,0.0,0.0
705.7,82.6,78.4,10.1,74.5,14.3,0.75,3.8,3.4,0.18,0.0,0.0,0.2,0.9,0.0,0.0,0.0
714.3,79.3,78.8,10.0,69.8,19.0,1.81,3.4,3.7,0.19,0.0,0.0,0.0,0.9,0.3,0.0,0.0
714.6,84.2,80.9,10.8,69.3,18.9,2.69,3.6,4.5,0.15,0.0,0.0,0.0,0.0,0.7,0.2,0.0
704.5,83.3,79.0,10.8,72.0,15.7,0.84,4.0,3.6,0.25,0.0,0.0,0.5,0.7,0.3,0.0,0.0
711.3,86.4,81.3,9.6,72.3,16.5,1.91,4.0,4.0,0.28,0.0,0.0,0.3,0.9,0.5,0.0,0.0
714.1,86.8,80.4,9.8,66.2,21.7,2.64,4.8,5.5,0.4,0.0,0.0,1.5,0.3,0.5,0.0,0.0
714.6,84.1,80.8,10.8,69.1,19.2,2.67,3.7,4.4,0.15,0.0,0.0,0.0,0.0,0.7,0.0,0.0
714.5,83.2,78.6,9.3,72.0,17.3,2.53,3.6,4.5,0.23,0.0,0.0,0.3,0.7,0.4,0.0,0.0
717.1,83.8,79.1,9.2,70.8,18.6,2.8,3.9,4.8,0.25,0.0,0.0,0.3,0.6,0.6,0.0,0.0
714.4,84.8,81.2,11.1,70.6,17.2,2.01,2.8,3.5,0.19,0.0,0.0,0.0,0.7,0.5,0.0,0.0
715.7,83.4,80.5,12.1,68.6,18.4,2.56,3.4,4.3,0.15,0.0,0.0,0.0,0.0,0.7,0.2,0.0
708.3,84.0,79.7,9.6,74.2,14.8,0.71,3.9,3.6,0.23,0.0,0.0,0.4,0.7,0.3,0.0,0.0
706.5,84.1,80.1,10.6,73.0,15.3,0.71,3.9,3.6,0.19,0.0,0.0,0.6,0.3,0.2,0.0,0.0
708.5,84.3,80.1,10.4,72.4,15.9,0.79,4.0,3.8,0.22,0.0,0.0,0.6,0.4,0.0,0.0,0.0
715.5,81.6,79.7,11.9,69.5,18.0,2.48,3.1,4.1,0.08,0.0,0.0,0.0,0.0,0.5,0.0,0.0
715.0,83.9,80.8,12.0,68.8,18.2,2.61,3.4,4.3,0.16,0.0,0.0,0.0,0.0,0.7,0.3,0.0
715.7,83.7,78.9,9.4,71.0,18.3,2.76,3.8,4.7,0.23,0.0,0.0,0.3,0.6,0.5,0.0,0.0
707.5,83.3,81.0,11.0,71.4,17.0,0.69,3.9,3.7,0.08,0.0,0.0,0.0,0.0,0.5,0.0,0.0
713.5,83.4,80.7,11.2,69.8,18.0,2.18,3.6,4.1,0.15,0.0,0.0,0.3,0.0,0.6,0.0,0.0
713.5,83.4,80.7,11.2,69.5,18.0,2.29,3.7,4.1,0.22,0.0,0.0,0.3,0.0,0.7,0.3,0.0
714.5,86.8,80.4,9.8,66.2,21.7,2.64,4.8,5.5,0.4,0.0,0.0,1.5,0.3,0.5,0.0,0.0
